feature,importance_rf,importance_gb
player_name_Fate,0.0005027510794469491,0.0
player_name_Fielder,0.00259986031774171,0.0
player_name_Fire,0.0007227172477195946,0.00353415830454735
player_name_Fissure,0.0002723977656418961,0.0
player_name_Fits,0.0008960937273850946,0.0
player_name_Fleta,0.0013505569185818516,0.0
player_name_FunnyAstro,0.001555453555411353,0.0
player_name_Fury,0.002825556111071467,0.0
player_name_Fusions,0.0009159842615581741,0.0
player_name_Fuze,4.581241156319097e-05,0.0
player_name_GARGOYLE,0.00046730826726375284,0.0
player_name_Gamsu,0.0005943774506086449,0.0
player_name_GangNamJin,0.00043195643202613714,0.0
player_name_Gator,0.0009607978031199088,0.0
player_name_Geguri,7.632586014239244e-06,0.0
player_name_Gesture,0.00071198183890874,0.0
player_name_GiG,0.00023911490229741293,0.0
player_name_Glister,0.00124565404238335,0.0
player_name_GodsB,0.0009291304296373724,0.0
player_name_Greyy,0.00015735557919952358,0.0
player_name_Guxue,0.0006517575964613331,0.0
player_name_HOTBA,0.0009052620746220204,0.0
player_name_Haksal,0.0015149238180517275,0.003678458530668388
player_name_Halo,0.0009828532861002911,0.0
player_name_Hanbin,0.0027798170596895298,0.0
player_name_Happy,0.0016873836022115582,0.0
player_name_HarryHook,0.0005543782161596348,0.0020194406019900584
player_name_Hawk,0.0009002713001893146,0.0
player_name_Heesu,0.0006410878082229817,0.0
player_name_Highly,0.0005869018909865947,0.0
player_name_HyP,0.00011538698071079421,0.0
player_name_Hydration,0.0005690752140209963,0.0
player_name_ILLICIT,0.00022558061495717908,0.0
player_name_IZaYaKI,0.0008744227135245508,0.0
player_name_JJANU,0.0009133604403845885,0.0
player_name_JJonak,0.0008493874412392631,0.0
player_name_Jaru,0.0001526592212252008,0.0
player_name_Jecse,0.0005801139866295148,0.0
player_name_Jerry,0.0010408462506924213,0.0
player_name_Jihun,0.00012376423546423492,0.0
player_name_JinMu,0.0006194649121254443,0.0
player_name_Jmac,0.0008909109247940465,0.0
player_name_KSAA,0.00048164720582359334,0.0
player_name_KSF,0.0012720798023575486,0.002171725436186992
player_name_KSP,0.0008273121055914634,0.0
player_name_Karayan,0.0003563723746371706,0.0
player_name_KariV,0.001054217892501057,0.0
player_name_Kellex,0.0007702891673029459,0.00037337160652465597
player_name_Kodak,0.00023157643838483618,0.0
player_name_Krillin,0.00050208765837676,2.9722793690605823e-05
player_name_Kris,0.0004741332230734112,0.0
player_name_Kruise,0.000898617756793857,0.0
player_name_Kyo,0.00016960871304607254,0.0
player_name_LIP,0.0011983046348384631,0.000901764996032068
player_name_Lastro,0.0006282378947685966,0.0
player_name_Leave,0.000625527887260433,0.0
player_name_LeeJaegon,0.0010712842036183076,0.0
player_name_Lengsa,0.0003309991137177982,0.0
player_name_LhCloudy,6.273645378874927e-05,0.0
player_name_LiNkzr,0.0013903136995762342,0.003164587281765242
player_name_Libero,0.0008576320416762102,0.0
player_name_Logix,0.0009425658362757489,0.0
player_name_Luffy,0.0006835159230040433,0.0033073588061741936
player_name_M1ka,0.0005305058203792039,0.0003968530647537507
player_name_Mandu,0.0006391769214256638,0.001486656631750051
player_name_Mano,0.0009960115443929888,0.0
player_name_Marve1,0.0010296656478982293,0.0
player_name_Masaa,0.0006567625967473439,0.0
player_name_Mcgravy,0.0007052422031878419,0.0
player_name_MekO,0.0008777706882902595,0.0
player_name_Michelle,0.0005844237223410249,0.0014512517939185906
player_name_MirroR,0.0008215645527599281,0.00032747929851523655
player_name_Molly,0.0004964524385178317,0.0
player_name_Mouffin,0.0002757608081391881,0.0
player_name_Muma,0.0007932170586456206,0.0
player_name_Munchkin,0.00011853200739031686,0.0
player_name_Myunb0ng,0.0009607883881453171,0.0
player_name_Nenne,0.0014768573533047785,0.003017666819920537
player_name_Nevix,0.0010291021980402576,0.0
player_name_NiCOgdh,0.0020690994234727924,0.0
player_name_NoSmite,0.0006442343220938527,0.0
player_name_NotE,0.00046408350361228264,0.0
player_name_OGE,0.0007798322021786065,0.0
player_name_Onigod,0.00021950580506755913,0.0
player_name_Paintbrush,0.0003917368721111681,0.00036909991839353815
player_name_Poko,0.0007436219012236289,0.0
